id,nombre,linea,ramal,barrio,comuna,anillo,distancia,cantidad_delitos,area_km2,densidad,base,densidad_relativa
42,Borges,Mitre, Maipú - Delta,,,3,200-300 m,0.0,0.15682742452706455,0.0,0.0,
233,Libertador,Mitre, Maipú - Delta,,,1,0-100 m,0.0,0.03136548490540953,0.0,0.0,
233,Libertador,Mitre, Maipú - Delta,,,2,100-200 m,0.0,0.09409645471650507,0.0,0.0,
233,Libertador,Mitre, Maipú - Delta,,,3,200-300 m,0.0,0.15682742452706455,0.0,0.0,
248,Maipú,Mitre, Maipú - Delta,,,1,0-100 m,0.0,0.03136548490540953,0.0,0.0,
248,Maipú,Mitre, Maipú - Delta,,,2,100-200 m,0.0,0.09409645471650507,0.0,0.0,
248,Maipú,Mitre, Maipú - Delta,,,3,200-300 m,0.0,0.15682742452706455,0.0,0.0,
50,Caballito,Sarmiento, Once - Moreno,Caballito,Comuna 6,1,0-100 m,96.0,0.03136548490540953,3060.6891712183638,3060.6891712183638,1.0
50,Caballito,Sarmiento, Once - Moreno,Caballito,Comuna 6,2,100-200 m,335.0,0.09409645471650507,3560.176640122011,3060.6891712183638,1.1631944444410267
50,Caballito,Sarmiento, Once - Moreno,Caballito,Comuna 6,3,200-300 m,700.0,0.15682742452706455,4463.505041359633,3060.6891712183638,1.458333333333176
84,Ciudadela,Sarmiento, Once - Moreno,,,1,0-100 m,0.0,0.03136548490540953,0.0,0.0,
84,Ciudadela,Sarmiento, Once - Moreno,,,2,100-200 m,0.0,0.09409645471650507,0.0,0.0,
84,Ciudadela,Sarmiento, Once - Moreno,,,3,200-300 m,0.0,0.15682742452706455,0.0,0.0,
139,Flores,Sarmiento, Once - Moreno,Flores,Comuna 7,1,0-100 m,149.0,0.03136548490540953,4750.444651161835,4750.444651161835,1.0
139,Flores,Sarmiento, Once - Moreno,Flores,Comuna 7,2,100-200 m,448.0,0.09409645471650507,4761.0720441034655,4750.444651161835,1.0022371364623797
139,Flores,Sarmiento, Once - Moreno,Flores,Comuna 7,3,200-300 m,1209.0,0.15682742452706455,7709.110850005423,4750.444651161835,1.6228187919461339
140,Floresta,Sarmiento, Once - Moreno,Floresta,Comuna 10,1,0-100 m,186.0,0.03136548490540953,5930.08526923558,5930.08526923558,1.0
140,Floresta,Sarmiento, Once - Moreno,Floresta,Comuna 10,2,100-200 m,473.0,0.09409645471650507,5026.756867993168,5930.08526923558,0.8476702508935667
140,Floresta,Sarmiento, Once - Moreno,Floresta,Comuna 10,3,200-300 m,649.0,0.15682742452706455,4138.306816917717,5930.08526923558,0.6978494623655161
169,Haedo,Sarmiento, Once - Moreno,,,1,0-100 m,0.0,0.03136548490540953,0.0,0.0,
169,Haedo,Sarmiento, Once - Moreno,,,2,100-200 m,0.0,0.09409645471650507,0.0,0.0,
169,Haedo,Sarmiento, Once - Moreno,,,3,200-300 m,0.0,0.15682742452706455,0.0,0.0,
234,Liniers,Sarmiento, Once - Moreno,Liniers,Comuna 9,1,0-100 m,594.0,0.03136548490540953,18938.014246913626,18938.014246913626,1.0
234,Liniers,Sarmiento, Once - Moreno,Liniers,Comuna 9,2,100-200 m,1296.0,0.09409645471650507,13773.101270442168,18938.014246913626,0.7272727272705903
234,Liniers,Sarmiento, Once - Moreno,Liniers,Comuna 9,3,200-300 m,1183.0,0.15682742452706455,7543.32351989778,18938.014246913626,0.39831649831645544
293,Once,Sarmiento, Once - Moreno,Balvanera,Comuna 3,1,0-100 m,118.0,0.03136548490540953,3762.097106289239,3762.097106289239,1.0
293,Once,Sarmiento, Once - Moreno,Balvanera,Comuna 3,2,100-200 m,563.0,0.09409645471650507,5983.222233996096,3762.097106289239,1.5903954802213156
293,Once,Sarmiento, Once - Moreno,Balvanera,Comuna 3,3,200-300 m,2522.0,0.15682742452706455,16081.37102044142,3762.097106289239,4.27457627118598
327,Ramos Mejía,Sarmiento, Once - Moreno,,,1,0-100 m,0.0,0.03136548490540953,0.0,0.0,
327,Ramos Mejía,Sarmiento, Once - Moreno,,,2,100-200 m,0.0,0.09409645471650507,0.0,0.0,
327,Ramos Mejía,Sarmiento, Once - Moreno,,,3,200-300 m,0.0,0.15682742452706455,0.0,0.0,
423,Villa Luro,Sarmiento, Once - Moreno,Villa Luro,Comuna 10,1,0-100 m,42.0,0.03136548490540953,1339.0515124080341,1339.0515124080341,1.0
423,Villa Luro,Sarmiento, Once - Moreno,Villa Luro,Comuna 10,2,100-200 m,182.0,0.09409645471650507,1934.185517917033,1339.0515124080341,1.4444444444402005
423,Villa Luro,Sarmiento, Once - Moreno,Villa Luro,Comuna 10,3,200-300 m,353.0,0.15682742452706455,2250.881827999929,1339.0515124080341,1.6809523809521998
