id,nombre,direccion,barrio,comuna,anillo,distancia,cantidad_delitos,area_km2,densidad,base,densidad_relativa
45,Comisaria Vecinal 15-B,CAMARGO 645,VILLA CRESPO,15,1,0-100 m,166,0.03136548490540953,5292.441691898421,5292.441691898421,1.0
45,Comisaria Vecinal 15-B,CAMARGO 645,VILLA CRESPO,15,2,100-200 m,1335,0.09409645471650507,14187.569595710103,5292.441691898421,2.6807228915583883
45,Comisaria Vecinal 15-B,CAMARGO 645,VILLA CRESPO,15,3,200-300 m,1312,0.15682742452706455,8365.883734662626,5292.441691898421,1.5807228915660947
45,Comisaria Vecinal 15-B,CAMARGO 645,VILLA CRESPO,15,4,300-400 m,1332,0.21955839433845675,6066.723178648667,5292.441691898421,1.1462994836458007
45,Comisaria Vecinal 15-B,CAMARGO 645,VILLA CRESPO,15,5,400-500 m,1755,0.282289364148873,6217.024879033178,5292.441691898421,1.1746987951799437
45,Comisaria Vecinal 15-B,CAMARGO 645,VILLA CRESPO,15,6,500-600 m,1830,0.3450203339603231,5304.03521147379,5292.441691898421,1.0021905805014566
3,Comisaria Vecinal 1-A,TUCUMAN 1560,SAN NICOLAS,1,1,0-100 m,276,0.03136548490540953,8799.481367252796,8799.481367252796,1.0
3,Comisaria Vecinal 1-A,TUCUMAN 1560,SAN NICOLAS,1,2,100-200 m,932,0.09409645471650507,9904.730234608103,8799.481367252796,1.1256038647309923
3,Comisaria Vecinal 1-A,TUCUMAN 1560,SAN NICOLAS,1,3,200-300 m,1414,0.15682742452706455,9016.28018354646,8799.481367252796,1.02463768115931
3,Comisaria Vecinal 1-A,TUCUMAN 1560,SAN NICOLAS,1,4,300-400 m,3502,0.21955839433845675,15950.198627348074,8799.481367252796,1.81262939958105
3,Comisaria Vecinal 1-A,TUCUMAN 1560,SAN NICOLAS,1,5,400-500 m,3094,0.282289364148873,10960.384601554788,8799.481367252796,1.2455716586143106
3,Comisaria Vecinal 1-A,TUCUMAN 1560,SAN NICOLAS,1,6,500-600 m,3353,0.3450203339603231,9718.267794574655,8799.481367252796,1.1044137022371698
15,Comisaria Vecinal 4-D,CALIFORNIA 1850,BARRACAS,4,1,0-100 m,246,0.03136548490540953,7843.016001247058,7843.016001247058,1.0
15,Comisaria Vecinal 4-D,CALIFORNIA 1850,BARRACAS,4,2,100-200 m,413,0.09409645471650507,4389.113290657882,7843.016001247058,0.5596205962043177
15,Comisaria Vecinal 4-D,CALIFORNIA 1850,BARRACAS,4,3,200-300 m,738,0.15682742452706455,4705.809600747727,7843.016001247058,0.5999999999999353
