id,banco,red,ubicacion,barrio,comuna,anillo,distancia,cantidad_delitos,area_km2,densidad,base,densidad_relativa
11792,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,"Av. Córdoba 5991, entre Arévalo y Av. Dorrego",Palermo,Comuna 14,3,100-150 m,65.0,0.03920685613180504,1657.8733010747903,10839.940814724096,0.15294117647052738
11765,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Av. Cordoba 6103 esquina Concepción Arenal,Chacarita,Comuna 15,1,0-50 m,22.0,0.007841371226357887,2805.6317402815307,2805.6317402815307,1.0
11765,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Av. Cordoba 6103 esquina Concepción Arenal,Chacarita,Comuna 15,2,50-100 m,24.0,0.023524113679051644,1020.2297237396933,2805.6317402815307,0.363636363636704
11765,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Av. Cordoba 6103 esquina Concepción Arenal,Chacarita,Comuna 15,3,100-150 m,50.0,0.03920685613180504,1275.2871546729157,2805.6317402815307,0.45454545454527373
11705,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,"Av. Córdoba 675, entre Florida y Maipu",Retiro,Comuna 1,1,0-50 m,27.0,0.007841371226357887,3443.2753176182423,3443.2753176182423,1.0
11705,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,"Av. Córdoba 675, entre Florida y Maipu",Retiro,Comuna 1,2,50-100 m,8.0,0.023524113679051644,340.0765745798978,3443.2753176182423,0.09876543209885788
11705,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,"Av. Córdoba 675, entre Florida y Maipu",Retiro,Comuna 1,3,100-150 m,16.0,0.03920685613180504,408.09188949533296,3443.2753176182423,0.11851851851847135
11037,BANCO DE LA PROVINCIA DE BUENOS AIRES,LINK,"Av. Córdoba 924/34, entre Suipacha y Carlos Pelleg",San Nicolas,Comuna 1,1,0-50 m,37.0,0.007841371226357887,4718.5624722916655,4718.5624722916655,1.0
11037,BANCO DE LA PROVINCIA DE BUENOS AIRES,LINK,"Av. Córdoba 924/34, entre Suipacha y Carlos Pelleg",San Nicolas,Comuna 1,2,50-100 m,46.0,0.023524113679051644,1955.4403038344121,4718.5624722916655,0.41441441441480226
11037,BANCO DE LA PROVINCIA DE BUENOS AIRES,LINK,"Av. Córdoba 924/34, entre Suipacha y Carlos Pelleg",San Nicolas,Comuna 1,3,100-150 m,75.0,0.03920685613180504,1912.9307320093733,4718.5624722916655,0.40540540540524406
11170,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,"Av. Cordoba s/n, entre Uriburu y Junin",,,1,0-50 m,194.0,0.007841371226357887,24740.57080066441,24740.57080066441,1.0
11170,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,"Av. Cordoba s/n, entre Uriburu y Junin",,,2,50-100 m,38.0,0.023524113679051644,1615.3637292545145,24740.57080066441,0.06529209621999238
11170,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,"Av. Cordoba s/n, entre Uriburu y Junin",,,3,100-150 m,27.0,0.03920685613180504,688.6550635233745,24740.57080066441,0.027835051546380676
11022,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,"Av. Corrientes 1418, entre Uruguay y Paraná",San Nicolas,Comuna 1,1,0-50 m,49.0,0.007841371226357887,6248.9070578997735,6248.9070578997735,1.0
11022,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,"Av. Corrientes 1418, entre Uruguay y Paraná",San Nicolas,Comuna 1,2,50-100 m,12.0,0.023524113679051644,510.11486186984666,6248.9070578997735,0.08163265306130088
11022,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,"Av. Corrientes 1418, entre Uruguay y Paraná",San Nicolas,Comuna 1,3,100-150 m,0.0,0.03920685613180504,0.0,6248.9070578997735,0.0
11039,CABAL COOP. LTDA.,LINK,Av. Corrientes 1574,San Nicolas,Comuna 1,1,0-50 m,74.0,0.007841371226357887,9437.124944583331,9437.124944583331,1.0
11039,CABAL COOP. LTDA.,LINK,Av. Corrientes 1574,San Nicolas,Comuna 1,2,50-100 m,10.0,0.023524113679051644,425.0957182248722,9437.124944583331,0.045045045045087204
11039,CABAL COOP. LTDA.,LINK,Av. Corrientes 1574,San Nicolas,Comuna 1,3,100-150 m,6.0,0.03920685613180504,153.03445856074987,9437.124944583331,0.016216216216209764
11191,CABAL COOP. LTDA.,LINK,Av Corrientes 1813,Balvanera,Comuna 3,1,0-50 m,174.0,0.007841371226357887,22189.99649131756,22189.99649131756,1.0
11191,CABAL COOP. LTDA.,LINK,Av Corrientes 1813,Balvanera,Comuna 3,2,50-100 m,44.0,0.023524113679051644,1870.4211601894378,22189.99649131756,0.0842911877395425
11191,CABAL COOP. LTDA.,LINK,Av Corrientes 1813,Balvanera,Comuna 3,3,100-150 m,391.0,0.03920685613180504,9972.7455495422,22189.99649131756,0.449425287356143
11162,BANCO DE LA NACION ARGENTINA,LINK,Av. Corrientes 2156,Balvanera,Comuna 3,1,0-50 m,22.0,0.007841371226357887,2805.6317402815307,2805.6317402815307,1.0
11162,BANCO DE LA NACION ARGENTINA,LINK,Av. Corrientes 2156,Balvanera,Comuna 3,2,50-100 m,156.0,0.023524113679051644,6631.493204308007,2805.6317402815307,2.363636363638576
11162,BANCO DE LA NACION ARGENTINA,LINK,Av. Corrientes 2156,Balvanera,Comuna 3,3,100-150 m,49.0,0.03920685613180504,1249.7814115794572,2805.6317402815307,0.4454545454543682
11163,CABAL COOP. LTDA.,LINK,Av. Corrientes 2187,Balvanera,Comuna 3,1,0-50 m,32.0,0.007841371226357887,4080.918894954954,4080.918894954954,1.0
11163,CABAL COOP. LTDA.,LINK,Av. Corrientes 2187,Balvanera,Comuna 3,2,50-100 m,2.0,0.023524113679051644,85.01914364497445,4080.918894954954,0.020833333333352834
11163,CABAL COOP. LTDA.,LINK,Av. Corrientes 2187,Balvanera,Comuna 3,3,100-150 m,2.0,0.03920685613180504,51.01148618691662,4080.918894954954,0.012499999999995026
11178,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,"Av. Corrientes 2528, entre Larrea y Paso",Balvanera,Comuna 3,1,0-50 m,288.0,0.007841371226357887,36728.270054594585,36728.270054594585,1.0
11178,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,"Av. Corrientes 2528, entre Larrea y Paso",Balvanera,Comuna 3,2,50-100 m,66.0,0.023524113679051644,2805.631740284157,36728.270054594585,0.0763888888889604
