modelo,threshold,accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp
Logistic Regression,0.62,0.8809174378253326,0.29675557661717233,0.6676642003560188,0.4092414970870063,0.8894875747578892,928998,108989,22783,45790
Logistic Regression,0.63,0.883933993637941,0.30171717685645427,0.6592199305461399,0.41224422712229397,0.8894875747578892,932915,105072,23362,45211
Logistic Regression,0.64,0.8867029352226721,0.30648186577270736,0.6507846694103033,0.41490537600858257,0.8894875747578892,936557,101430,23940,44633
Logistic Regression,0.65,0.889489950838635,0.3116403632145174,0.642758490653036,0.41787448187287995,0.8894875747578892,940191,97796,24490,44083
Logistic Regression,0.66,0.8922498554077501,0.31691705696689965,0.6344117542366071,0.42073176779647203,0.8894875747578892,943817,94170,25062,43511
Logistic Regression,0.67,0.8948751084441874,0.3222035278519498,0.625952433556846,0.4233826113990549,0.8894875747578892,947302,90685,25642,42931
Logistic Regression,0.68,0.8974352949681897,0.3275871576299186,0.6177755367643859,0.4260602830854777,0.8894875747578892,950696,87291,26203,42370
Logistic Regression,0.69,0.899854504048583,0.33290955176865683,0.6093644736881979,0.42844053722181313,0.8894875747578892,953950,84037,26780,41793
Logistic Regression,0.7,0.9023686017929439,0.3388472777965828,0.6009330646905765,0.43113427361196743,0.8894875747578892,957310,80677,27358,41215
Logistic Regression,0.71,0.9046703296703298,0.3445210753252538,0.59245770947728,0.433397542915858,0.8894875747578892,960438,77549,27939,40634
Logistic Regression,0.72,0.9070054945054945,0.3507382209587532,0.5841851305020843,0.4359680442589756,0.8894875747578892,963589,74398,28506,40067
Logistic Regression,0.73,0.9092548076923077,0.3571412011764225,0.576146062636902,0.43850647288807015,0.8894875747578892,966629,71358,29057,39516
Logistic Regression,0.74,0.9114444765760557,0.3635493317463238,0.5676311998245354,0.44070340256823765,0.8894875747578892,969636,68351,29641,38932
Logistic Regression,0.75,0.9136115529207635,0.3704306787485557,0.5592589818331908,0.4430747167378596,0.8894875747578892,972608,65379,30215,38358
Logistic Regression,0.76,0.9155572223828804,0.3766344435365903,0.5495913698550181,0.44430417443106657,0.8894875747578892,975424,62563,30878,37695
Logistic Regression,0.77,0.9175372325043378,0.38340093610602594,0.5401380058669923,0.44578374168728985,0.8894875747578892,978263,59724,31526,37047
Logistic Regression,0.78,0.9194069910352806,0.3902439829483453,0.5312297058810763,0.44723573636777136,0.8894875747578892,980943,57044,32137,36436
Logistic Regression,0.79,0.9212812680740312,0.39761251089949934,0.5216626787777275,0.4484931739973401,0.8894875747578892,983673,54314,32793,35780
Logistic Regression,0.8,0.9231609673221515,0.40550036117807087,0.5114703480429915,0.44952769453990793,0.8894875747578892,986452,51535,33492,35081
Logistic Regression,0.81,0.9249756000578369,0.4136176907053146,0.5010757263098482,0.4502246866365994,0.8894875747578892,989173,48814,34205,34368
Logistic Regression,0.82,0.9267116107576634,0.42192070092590106,0.4904930340252848,0.4506351380572887,0.8894875747578892,991820,46167,34931,33642
Logistic Regression,0.83,0.9284358733371892,0.43078187670403756,0.4798438922968849,0.4509386522086749,0.8894875747578892,994458,43529,35661,32912
Logistic Regression,0.84,0.929969454887218,0.43915136450736886,0.4685325786619157,0.45030961936660263,0.8894875747578892,996930,41057,36436,32137
Logistic Regression,0.85,0.9314885772122613,0.4482022725769248,0.4573729675301143,0.4496793507415807,0.8894875747578892,999377,38610,37202,31371
Logistic Regression,0.86,0.9329272700983227,0.45744397354361677,0.44551304765077565,0.4483474633933878,0.8894875747578892,1001782,36205,38015,30558
Logistic Regression,0.87,0.934375,0.4678261919274361,0.43360329786847684,0.44701583884137974,0.8894875747578892,1004201,33786,38832,29741
Logistic Regression,0.88,0.9356916931752458,0.47799644758501386,0.4203958997755185,0.4442972730294029,0.8894875747578892,1006564,31423,39738,28835
Logistic Regression,0.89,0.9370092900520532,0.48928779341483536,0.4074891169966781,0.44169158899081384,0.8894875747578892,1008907,29080,40623,27950
Logistic Regression,0.9,0.9383413461538461,0.5023526430415728,0.3944985642858715,0.4389410958154415,0.8894875747578892,1011272,26715,41514,27059
