id,nombre,direccion,barrio,comuna,anillo,distancia,cantidad_delitos,area_km2,densidad,base,dens_rel
49,Comisaria Vecinal 12-B,OLAZABAL AV. 5437,VILLA URQUIZA,12,4,900-1200 m,4707,1.9760255490442793,2382.0542210481935,2823.3440618732648,0.8436995877391298
4,Comisaria Vecinal 1-B,TACUARI 770,MONSERRAT,1,1,0-300 m,2282,0.28228936414897915,8083.903574899361,8083.903574899361,1.0
4,Comisaria Vecinal 1-B,TACUARI 770,MONSERRAT,1,2,300-600 m,6637,0.8468680924476529,7837.111894034725,8083.903574899361,0.969471224071632
4,Comisaria Vecinal 1-B,TACUARI 770,MONSERRAT,1,3,600-900 m,11228,1.4114468207453075,7954.957873702327,8083.903574899361,0.9840490797543141
4,Comisaria Vecinal 1-B,TACUARI 770,MONSERRAT,1,4,900-1200 m,14808,1.9760255490442793,7493.830232692087,8083.903574899361,0.9270063853755677
20,Comisaria Vecinal 9-B,REMEDIOS 3748,PARQUE AVELLANEDA,9,1,0-300 m,847,0.28228936414897915,3000.4672778000695,3000.4672778000695,1.0
20,Comisaria Vecinal 9-B,REMEDIOS 3748,PARQUE AVELLANEDA,9,2,300-600 m,2352,0.8468680924476529,2777.2920257299493,3000.4672778000695,0.9256198347099618
20,Comisaria Vecinal 9-B,REMEDIOS 3748,PARQUE AVELLANEDA,9,3,600-900 m,3391,1.4114468207453075,2402.4993008304764,3000.4672778000695,0.8007083825263308
20,Comisaria Vecinal 9-B,REMEDIOS 3748,PARQUE AVELLANEDA,9,4,900-1200 m,5787,1.9760255490442793,2928.6058587647963,3000.4672778000695,0.9760499241011681
21,Comisaria Comunal 11,"BUFANO, ALFREDO R. 1800",VILLA GRAL. MITRE,11,1,0-300 m,590,0.28228936414897915,2090.053947936294,2090.053947936294,1.0
21,Comisaria Comunal 11,"BUFANO, ALFREDO R. 1800",VILLA GRAL. MITRE,11,2,300-600 m,2540,0.8468680924476529,2999.2864563580233,2090.053947936294,1.435028248586358
21,Comisaria Comunal 11,"BUFANO, ALFREDO R. 1800",VILLA GRAL. MITRE,11,3,600-900 m,4355,1.4114468207453075,3085.486421444036,2090.053947936294,1.4762711864402474
21,Comisaria Comunal 11,"BUFANO, ALFREDO R. 1800",VILLA GRAL. MITRE,11,4,900-1200 m,6286,1.9760255490442793,3181.1329580431157,2090.053947936294,1.5220338983039867
22,Comisaria Comunal 9,"DE LA TORRE, LISANDRO AV. 2343",MATADEROS,9,1,0-300 m,609,0.28228936414897915,2157.3607699884797,2157.3607699884797,1.0
22,Comisaria Comunal 9,"DE LA TORRE, LISANDRO AV. 2343",MATADEROS,9,2,300-600 m,1578,0.8468680924476529,1863.3362315484098,2157.3607699884797,0.8637110016413064
22,Comisaria Comunal 9,"DE LA TORRE, LISANDRO AV. 2343",MATADEROS,9,3,600-900 m,2073,1.4114468207453075,1468.705706464635,2157.3607699884797,0.6807881773397029
22,Comisaria Comunal 9,"DE LA TORRE, LISANDRO AV. 2343",MATADEROS,9,4,900-1200 m,5335,1.9760255490442793,2699.8638770537736,2157.3607699884797,1.2514661036819497
23,Comisaria Comunal 10,CHIVILCOY 453,FLORESTA,10,1,0-300 m,1105,0.28228936414897915,3914.4230719823813,3914.4230719823813,1.0
23,Comisaria Comunal 10,CHIVILCOY 453,FLORESTA,10,2,300-600 m,3664,0.8468680924476529,4326.529754368425,3914.4230719823813,1.1052790346898655
23,Comisaria Comunal 10,CHIVILCOY 453,FLORESTA,10,3,600-900 m,5150,1.4114468207453075,3648.73824809111,3914.4230719823813,0.9321266968323073
23,Comisaria Comunal 10,CHIVILCOY 453,FLORESTA,10,4,900-1200 m,6853,1.9760255490442793,3468.0725678443323,3914.4230719823813,0.885972850678094
50,Comisaria Vecinal 10-B,"PORCEL DE PERALTA, MANUEL 726",VERSALLES,10,1,0-300 m,457,0.28228936414897915,1618.9061935709938,1618.9061935709938,1.0
50,Comisaria Vecinal 10-B,"PORCEL DE PERALTA, MANUEL 726",VERSALLES,10,2,300-600 m,1354,0.8468680924476529,1598.8322290979386,1618.9061935709938,0.9876002917570067
50,Comisaria Vecinal 10-B,"PORCEL DE PERALTA, MANUEL 726",VERSALLES,10,3,600-900 m,3512,1.4114468207453075,2488.226937339025,1618.9061935709938,1.536980306345285
50,Comisaria Vecinal 10-B,"PORCEL DE PERALTA, MANUEL 726",VERSALLES,10,4,900-1200 m,2958,1.9760255490442793,1496.9442077460287,1618.9061935709938,0.9246639574860477
27,Comisaria Vecinal 11-B,"CUBAS, JOSE 4154",VILLA DEVOTO,11,1,0-300 m,457,0.28228936414897915,1618.9061935709938,1618.9061935709938,1.0
27,Comisaria Vecinal 11-B,"CUBAS, JOSE 4154",VILLA DEVOTO,11,2,300-600 m,1561,0.8468680924476529,1843.2622670767223,1618.9061935709938,1.138584974470227
27,Comisaria Vecinal 11-B,"CUBAS, JOSE 4154",VILLA DEVOTO,11,3,600-900 m,1898,1.4114468207453075,1344.7194553159081,1618.9061935709938,0.8306345733039153
27,Comisaria Vecinal 11-B,"CUBAS, JOSE 4154",VILLA DEVOTO,11,4,900-1200 m,2693,1.9760255490442793,1362.8366299729735,1618.9061935709938,0.8418255704901713
24,Comisaria Vecinal 11-B (edificio anexo),NAZCA 4254,VILLA PUEYRREDON,12,1,0-300 m,533,0.28228936414897915,1888.1334817797367,1888.1334817797367,1.0
24,Comisaria Vecinal 11-B (edificio anexo),NAZCA 4254,VILLA PUEYRREDON,12,2,300-600 m,1773,0.8468680924476529,2093.5964122530613,1888.1334817797367,1.1088180112560988
24,Comisaria Vecinal 11-B (edificio anexo),NAZCA 4254,VILLA PUEYRREDON,12,3,600-900 m,2974,1.4114468207453075,2107.0577766646525,1888.1334817797367,1.1159474671666538
24,Comisaria Vecinal 11-B (edificio anexo),NAZCA 4254,VILLA PUEYRREDON,12,4,900-1200 m,3638,1.9760255490442793,1841.0693129750007,1888.1334817797367,0.9750737067803206
25,Comisaria Vecinal 8-A,"LEGUIZAMON, MARTINIANO 4347",VILLA LUGANO,8,1,0-300 m,839,0.28228936414897915,2972.127563251781,2972.127563251781,1.0
25,Comisaria Vecinal 8-A,"LEGUIZAMON, MARTINIANO 4347",VILLA LUGANO,8,2,300-600 m,2163,0.8468680924476529,2554.1167736623643,2972.127563251781,0.8593563766381298
25,Comisaria Vecinal 8-A,"LEGUIZAMON, MARTINIANO 4347",VILLA LUGANO,8,3,600-900 m,3758,1.4114468207453075,2662.5161818109495,2972.127563251781,0.8958283671034335
25,Comisaria Vecinal 8-A,"LEGUIZAMON, MARTINIANO 4347",VILLA LUGANO,8,4,900-1200 m,8496,1.9760255490442793,4299.539550037275,2972.127563251781,1.446620125999297
26,Comisaria Vecinal 12-A,MACHAIN 3045,VILLA URQUIZA,12,1,0-300 m,746,0.28228936414897915,2642.6783816279244,2642.6783816279244,1.0
26,Comisaria Vecinal 12-A,MACHAIN 3045,VILLA URQUIZA,12,2,300-600 m,1778,0.8468680924476529,2099.5005194506166,2642.6783816279244,0.7944593386945924
26,Comisaria Vecinal 12-A,MACHAIN 3045,VILLA URQUIZA,12,3,600-900 m,3068,1.4114468207453075,2173.6561058531115,2642.6783816279244,0.8225201072383659
26,Comisaria Vecinal 12-A,MACHAIN 3045,VILLA URQUIZA,12,4,900-1200 m,4671,1.9760255490442793,2363.835833124307,2642.6783816279244,0.8944848716960228
5,Comisaria Comunal 3,LAVALLE 1958,BALVANERA,3,1,0-300 m,2763,0.28228936414897915,9787.828912115221,9787.828912115221,1.0
5,Comisaria Comunal 3,LAVALLE 1958,BALVANERA,3,2,300-600 m,10049,0.8468680924476529,11866.07464564637,9787.828912115221,1.212329593436061
5,Comisaria Comunal 3,LAVALLE 1958,BALVANERA,3,3,600-900 m,14462,1.4114468207453075,10246.223794930802,9787.828912115221,1.0468331523703063
5,Comisaria Comunal 3,LAVALLE 1958,BALVANERA,3,4,900-1200 m,20768,1.9760255490442793,10509.985566757783,9787.828912115221,1.0737810868096282
51,Comisaria Vecinal 7-C,GAONA AV. 2738,FLORES,7,1,0-300 m,1252,0.28228936414897915,4435.165326807187,4435.165326807187,1.0
51,Comisaria Vecinal 7-C,GAONA AV. 2738,FLORES,7,2,300-600 m,2657,0.8468680924476529,3137.4425647808143,4435.165326807187,0.7074014909472192
51,Comisaria Vecinal 7-C,GAONA AV. 2738,FLORES,7,3,600-900 m,4222,1.4114468207453075,2991.256870571003,4435.165326807187,0.6744408945684933
51,Comisaria Vecinal 7-C,GAONA AV. 2738,FLORES,7,4,900-1200 m,5406,1.9760255490442793,2735.794586570328,4435.165326807187,0.6168416248284003
52,Comisaria Comunal 13,ARTILLEROS 2081,BELGRANO,13,1,0-300 m,484,0.28228936414897915,1714.5527301714683,1714.5527301714683,1.0
52,Comisaria Comunal 13,ARTILLEROS 2081,BELGRANO,13,2,300-600 m,2365,0.8468680924476529,2792.6427044435927,1714.5527301714683,1.6287878787865027
52,Comisaria Comunal 13,ARTILLEROS 2081,BELGRANO,13,3,600-900 m,3530,1.4114468207453075,2500.979808885751,1714.5527301714683,1.4586776859499877
52,Comisaria Comunal 13,ARTILLEROS 2081,BELGRANO,13,4,900-1200 m,3892,1.9760255490442793,1969.6101611046463,1714.5527301714683,1.148760330577684
44,Comisaria Comunal 8,DIAZ ANA Y CAFAYATE,VILLA LUGANO,8,1,0-300 m,1283,0.28228936414897915,4544.981720681805,4544.981720681805,1.0
