id,nombre,direccion,barrio,comuna,anillo,distancia,cantidad_delitos,area_km2,densidad,base,dens_rel
45,Comisaria Vecinal 15-B,CAMARGO 645,VILLA CRESPO,15,2,300-600 m,4214,0.8468680924476529,4975.981546099492,8533.796543353445,0.5830911858304192
45,Comisaria Vecinal 15-B,CAMARGO 645,VILLA CRESPO,15,3,600-900 m,6548,1.4114468207453075,4639.211271553512,8533.796543353445,0.5436280614361221
45,Comisaria Vecinal 15-B,CAMARGO 645,VILLA CRESPO,15,4,900-1200 m,8539,1.9760255490442793,4321.300402279695,8533.796543353445,0.5063749036348123
3,Comisaria Vecinal 1-A,TUCUMAN 1560,SAN NICOLAS,1,1,0-300 m,2316,0.28228936414897915,8204.347361729588,8204.347361729588,1.0
3,Comisaria Vecinal 1-A,TUCUMAN 1560,SAN NICOLAS,1,2,300-600 m,11467,0.8468680924476529,13540.479446873014,8204.347361729588,1.6504029936658482
3,Comisaria Vecinal 1-A,TUCUMAN 1560,SAN NICOLAS,1,3,600-900 m,13200,1.4114468207453075,9352.105800932553,8204.347361729588,1.1398963730566622
3,Comisaria Vecinal 1-A,TUCUMAN 1560,SAN NICOLAS,1,4,900-1200 m,22225,1.9760255490442793,11247.324211343977,8204.347361729588,1.3708981001717226
15,Comisaria Vecinal 4-D,CALIFORNIA 1850,BARRACAS,4,1,0-300 m,1149,0.28228936414897915,4070.291501997969,4070.291501997969,1.0
15,Comisaria Vecinal 4-D,CALIFORNIA 1850,BARRACAS,4,2,300-600 m,2712,0.8468680924476529,3202.387743953921,4070.291501997969,0.7867711053082995
15,Comisaria Vecinal 4-D,CALIFORNIA 1850,BARRACAS,4,3,600-900 m,3411,1.4114468207453075,2416.6691581046166,4070.291501997969,0.5937336814619678
15,Comisaria Vecinal 4-D,CALIFORNIA 1850,BARRACAS,4,4,900-1200 m,3965,1.9760255490442793,2006.5530032836389,4070.291501997969,0.49297525798795727
32,Comisaria Vecinal 14-B,CABILDO AV. 232,PALERMO,14,1,0-300 m,1014,0.28228936414897915,3592.058818995597,3592.058818995597,1.0
32,Comisaria Vecinal 14-B,CABILDO AV. 232,PALERMO,14,2,300-600 m,2900,0.8468680924476529,3424.3821745819955,3592.058818995597,0.9533201840886094
32,Comisaria Vecinal 14-B,CABILDO AV. 232,PALERMO,14,3,600-900 m,5847,1.4114468207453075,4142.557774094897,3592.058818995597,1.1532544378694858
32,Comisaria Vecinal 14-B,CABILDO AV. 232,PALERMO,14,4,900-1200 m,6564,1.9760255490442793,3321.819398122019,3592.058818995597,0.9247675401514884
17,Comisaria Vecinal 13-C,MENDOZA 2263,BELGRANO,13,1,0-300 m,3281,0.28228936414897915,11622.825429116916,11622.825429116916,1.0
17,Comisaria Vecinal 13-C,MENDOZA 2263,BELGRANO,13,2,300-600 m,5628,0.8468680924476529,6645.663061568093,11622.825429116916,0.5717768972869294
17,Comisaria Vecinal 13-C,MENDOZA 2263,BELGRANO,13,3,600-900 m,7303,1.4114468207453075,5174.123383652306,11622.825429116916,0.4451691557450698
17,Comisaria Vecinal 13-C,MENDOZA 2263,BELGRANO,13,4,900-1200 m,8582,1.9760255490442793,4343.061254522116,11622.825429116916,0.373666565071355
47,Comisaria Vecinal 4-B,QUILMES 456,NUEVA POMPEYA,4,1,0-300 m,1039,0.28228936414897915,3680.620426958999,3680.620426958999,1.0
47,Comisaria Vecinal 4-B,QUILMES 456,NUEVA POMPEYA,4,2,300-600 m,2867,0.8468680924476529,3385.4150670781314,3680.620426958999,0.9197946743656009
47,Comisaria Vecinal 4-B,QUILMES 456,NUEVA POMPEYA,4,3,600-900 m,4435,1.4114468207453075,3142.1658505405967,3680.620426958999,0.8537054860440244
47,Comisaria Vecinal 4-B,QUILMES 456,NUEVA POMPEYA,4,4,900-1200 m,6135,1.9760255490442793,3104.716942029035,3680.620426958999,0.8435308675918569
