id,nombre,anillo,distancia,radio_in,radio_out,cantidad_delitos,area_m2,area_km2,densidad_delitos_km2
32,Comisaria Vecinal 14-B,1,0-300 m,0,300,1014,282289.36414897913,0.28228936414897915,3592.058818995597
32,Comisaria Vecinal 14-B,2,300-600 m,300,600,2900,846868.092447653,0.8468680924476529,3424.3821745819955
32,Comisaria Vecinal 14-B,3,600-900 m,600,900,5847,1411446.8207453075,1.4114468207453075,4142.557774094897
32,Comisaria Vecinal 14-B,4,900-1200 m,900,1200,6564,1976025.5490442794,1.9760255490442793,3321.819398122019
17,Comisaria Vecinal 13-C,1,0-300 m,0,300,3281,282289.36414897913,0.28228936414897915,11622.825429116916
17,Comisaria Vecinal 13-C,2,300-600 m,300,600,5628,846868.092447653,0.8468680924476529,6645.663061568093
17,Comisaria Vecinal 13-C,3,600-900 m,600,900,7303,1411446.8207453075,1.4114468207453075,5174.123383652306
17,Comisaria Vecinal 13-C,4,900-1200 m,900,1200,8582,1976025.5490442794,1.9760255490442793,4343.061254522116
47,Comisaria Vecinal 4-B,1,0-300 m,0,300,1039,282289.36414897913,0.28228936414897915,3680.620426958999
47,Comisaria Vecinal 4-B,2,300-600 m,300,600,2867,846868.092447653,0.8468680924476529,3385.4150670781314
47,Comisaria Vecinal 4-B,3,600-900 m,600,900,4435,1411446.8207453075,1.4114468207453075,3142.1658505405967
47,Comisaria Vecinal 4-B,4,900-1200 m,900,1200,6135,1976025.5490442794,1.9760255490442793,3104.716942029035
18,Comisaria Vecinal 13-B,1,0-300 m,0,300,1202,282289.36414897913,0.28228936414897915,4258.042110880382
18,Comisaria Vecinal 13-B,2,300-600 m,300,600,4153,846868.092447653,0.8468680924476529,4903.951438289319
18,Comisaria Vecinal 13-B,3,600-900 m,600,900,5195,1411446.8207453075,1.4114468207453075,3680.6204269579252
18,Comisaria Vecinal 13-B,4,900-1200 m,900,1200,7391,1976025.5490442794,1.9760255490442793,3740.3362540401954
19,Comisaria Vecinal 8-B,1,0-300 m,0,300,202,282289.36414897913,0.28228936414897915,715.5777923442905
19,Comisaria Vecinal 8-B,2,300-600 m,300,600,340,846868.092447653,0.8468680924476529,401.47928943375115
19,Comisaria Vecinal 8-B,3,600-900 m,600,900,1283,1411446.8207453075,1.4114468207453075,908.9963441360959
19,Comisaria Vecinal 8-B,4,900-1200 m,900,1200,1147,1976025.5490442794,1.9760255490442793,580.4580819082809
33,Comisaria Vecinal 12-C,1,0-300 m,0,300,649,282289.36414897913,0.28228936414897915,2299.059342729923
33,Comisaria Vecinal 12-C,2,300-600 m,300,600,2014,846868.092447653,0.8468680924476529,2378.17437917522
33,Comisaria Vecinal 12-C,3,600-900 m,600,900,3163,1411446.8207453075,1.4114468207453075,2240.962927905278
33,Comisaria Vecinal 12-C,4,900-1200 m,900,1200,5042,1976025.5490442794,1.9760255490442793,2551.5864420065845
48,Comisaria Comunal 7,1,0-300 m,0,300,1735,282289.36414897913,0.28228936414897915,6146.175592660119
48,Comisaria Comunal 7,2,300-600 m,300,600,5197,846868.092447653,0.8468680924476529,6136.729021138838
48,Comisaria Comunal 7,3,600-900 m,600,900,8200,1411446.8207453075,1.4114468207453075,5809.641482397496
48,Comisaria Comunal 7,4,900-1200 m,900,1200,8757,1976025.5490442794,1.9760255490442793,4431.622862485454
49,Comisaria Vecinal 12-B,1,0-300 m,0,300,797,282289.36414897913,0.28228936414897915,2823.3440618732648
49,Comisaria Vecinal 12-B,2,300-600 m,300,600,2230,846868.092447653,0.8468680924476529,2633.2318101096034
49,Comisaria Vecinal 12-B,3,600-900 m,600,900,4196,1411446.8207453075,1.4114468207453075,2972.836056114621
49,Comisaria Vecinal 12-B,4,900-1200 m,900,1200,4707,1976025.5490442794,1.9760255490442793,2382.0542210481935
4,Comisaria Vecinal 1-B,1,0-300 m,0,300,2282,282289.36414897913,0.28228936414897915,8083.903574899361
4,Comisaria Vecinal 1-B,2,300-600 m,300,600,6637,846868.092447653,0.8468680924476529,7837.111894034725
4,Comisaria Vecinal 1-B,3,600-900 m,600,900,11228,1411446.8207453075,1.4114468207453075,7954.957873702327
4,Comisaria Vecinal 1-B,4,900-1200 m,900,1200,14808,1976025.5490442794,1.9760255490442793,7493.830232692087
20,Comisaria Vecinal 9-B,1,0-300 m,0,300,847,282289.36414897913,0.28228936414897915,3000.4672778000695
20,Comisaria Vecinal 9-B,2,300-600 m,300,600,2352,846868.092447653,0.8468680924476529,2777.2920257299493
20,Comisaria Vecinal 9-B,3,600-900 m,600,900,3391,1411446.8207453075,1.4114468207453075,2402.4993008304764
20,Comisaria Vecinal 9-B,4,900-1200 m,900,1200,5787,1976025.5490442794,1.9760255490442793,2928.6058587647963
21,Comisaria Comunal 11,1,0-300 m,0,300,590,282289.36414897913,0.28228936414897915,2090.053947936294
21,Comisaria Comunal 11,2,300-600 m,300,600,2540,846868.092447653,0.8468680924476529,2999.2864563580233
21,Comisaria Comunal 11,3,600-900 m,600,900,4355,1411446.8207453075,1.4114468207453075,3085.486421444036
21,Comisaria Comunal 11,4,900-1200 m,900,1200,6286,1976025.5490442794,1.9760255490442793,3181.1329580431157
22,Comisaria Comunal 9,1,0-300 m,0,300,609,282289.36414897913,0.28228936414897915,2157.3607699884797
22,Comisaria Comunal 9,2,300-600 m,300,600,1578,846868.092447653,0.8468680924476529,1863.3362315484098
22,Comisaria Comunal 9,3,600-900 m,600,900,2073,1411446.8207453075,1.4114468207453075,1468.705706464635
22,Comisaria Comunal 9,4,900-1200 m,900,1200,5335,1976025.5490442794,1.9760255490442793,2699.8638770537736
23,Comisaria Comunal 10,1,0-300 m,0,300,1105,282289.36414897913,0.28228936414897915,3914.4230719823813
23,Comisaria Comunal 10,2,300-600 m,300,600,3664,846868.092447653,0.8468680924476529,4326.529754368425
23,Comisaria Comunal 10,3,600-900 m,600,900,5150,1411446.8207453075,1.4114468207453075,3648.73824809111
23,Comisaria Comunal 10,4,900-1200 m,900,1200,6853,1976025.5490442794,1.9760255490442793,3468.0725678443323
50,Comisaria Vecinal 10-B,1,0-300 m,0,300,457,282289.36414897913,0.28228936414897915,1618.9061935709938
50,Comisaria Vecinal 10-B,2,300-600 m,300,600,1354,846868.092447653,0.8468680924476529,1598.8322290979386
50,Comisaria Vecinal 10-B,3,600-900 m,600,900,3512,1411446.8207453075,1.4114468207453075,2488.226937339025
50,Comisaria Vecinal 10-B,4,900-1200 m,900,1200,2958,1976025.5490442794,1.9760255490442793,1496.9442077460287
27,Comisaria Vecinal 11-B,1,0-300 m,0,300,457,282289.36414897913,0.28228936414897915,1618.9061935709938
27,Comisaria Vecinal 11-B,2,300-600 m,300,600,1561,846868.092447653,0.8468680924476529,1843.2622670767223
27,Comisaria Vecinal 11-B,3,600-900 m,600,900,1898,1411446.8207453075,1.4114468207453075,1344.7194553159081
27,Comisaria Vecinal 11-B,4,900-1200 m,900,1200,2693,1976025.5490442794,1.9760255490442793,1362.8366299729735
24,Comisaria Vecinal 11-B (edificio anexo),1,0-300 m,0,300,533,282289.36414897913,0.28228936414897915,1888.1334817797367
24,Comisaria Vecinal 11-B (edificio anexo),2,300-600 m,300,600,1773,846868.092447653,0.8468680924476529,2093.5964122530613
24,Comisaria Vecinal 11-B (edificio anexo),3,600-900 m,600,900,2974,1411446.8207453075,1.4114468207453075,2107.0577766646525
24,Comisaria Vecinal 11-B (edificio anexo),4,900-1200 m,900,1200,3638,1976025.5490442794,1.9760255490442793,1841.0693129750007
25,Comisaria Vecinal 8-A,1,0-300 m,0,300,839,282289.36414897913,0.28228936414897915,2972.127563251781
25,Comisaria Vecinal 8-A,2,300-600 m,300,600,2163,846868.092447653,0.8468680924476529,2554.1167736623643
25,Comisaria Vecinal 8-A,3,600-900 m,600,900,3758,1411446.8207453075,1.4114468207453075,2662.5161818109495
25,Comisaria Vecinal 8-A,4,900-1200 m,900,1200,8496,1976025.5490442794,1.9760255490442793,4299.539550037275
26,Comisaria Vecinal 12-A,1,0-300 m,0,300,746,282289.36414897913,0.28228936414897915,2642.6783816279244
26,Comisaria Vecinal 12-A,2,300-600 m,300,600,1778,846868.092447653,0.8468680924476529,2099.5005194506166
26,Comisaria Vecinal 12-A,3,600-900 m,600,900,3068,1411446.8207453075,1.4114468207453075,2173.6561058531115
26,Comisaria Vecinal 12-A,4,900-1200 m,900,1200,4671,1976025.5490442794,1.9760255490442793,2363.835833124307
5,Comisaria Comunal 3,1,0-300 m,0,300,2763,282289.36414897913,0.28228936414897915,9787.828912115221
5,Comisaria Comunal 3,2,300-600 m,300,600,10049,846868.092447653,0.8468680924476529,11866.07464564637
5,Comisaria Comunal 3,3,600-900 m,600,900,14462,1411446.8207453075,1.4114468207453075,10246.223794930802
5,Comisaria Comunal 3,4,900-1200 m,900,1200,20768,1976025.5490442794,1.9760255490442793,10509.985566757783
51,Comisaria Vecinal 7-C,1,0-300 m,0,300,1252,282289.36414897913,0.28228936414897915,4435.165326807187
51,Comisaria Vecinal 7-C,2,300-600 m,300,600,2657,846868.092447653,0.8468680924476529,3137.4425647808143
51,Comisaria Vecinal 7-C,3,600-900 m,600,900,4222,1411446.8207453075,1.4114468207453075,2991.256870571003
51,Comisaria Vecinal 7-C,4,900-1200 m,900,1200,5406,1976025.5490442794,1.9760255490442793,2735.794586570328
52,Comisaria Comunal 13,1,0-300 m,0,300,484,282289.36414897913,0.28228936414897915,1714.5527301714683
52,Comisaria Comunal 13,2,300-600 m,300,600,2365,846868.092447653,0.8468680924476529,2792.6427044435927
52,Comisaria Comunal 13,3,600-900 m,600,900,3530,1411446.8207453075,1.4114468207453075,2500.979808885751
52,Comisaria Comunal 13,4,900-1200 m,900,1200,3892,1976025.5490442794,1.9760255490442793,1969.6101611046463
44,Comisaria Comunal 8,1,0-300 m,0,300,1283,282289.36414897913,0.28228936414897915,4544.981720681805
44,Comisaria Comunal 8,2,300-600 m,300,600,3214,846868.092447653,0.8468680924476529,3795.1601065884597
44,Comisaria Comunal 8,3,600-900 m,600,900,4993,1411446.8207453075,1.4114468207453075,3537.504868489109
44,Comisaria Comunal 8,4,900-1200 m,900,1200,7083,1976025.5490442794,1.9760255490442793,3584.46782402472
53,Comisaria Comunal 14,1,0-300 m,0,300,1376,282289.36414897913,0.28228936414897915,4874.430902305662
53,Comisaria Comunal 14,2,300-600 m,300,600,3981,846868.092447653,0.8468680924476529,4700.850150693422
53,Comisaria Comunal 14,3,600-900 m,600,900,8628,1411446.8207453075,1.4114468207453075,6112.876428064096
53,Comisaria Comunal 14,4,900-1200 m,900,1200,10243,1976025.5490442794,1.9760255490442793,5183.637430677002
54,Comisaria Vecinal 10-C,1,0-300 m,0,300,897,282289.36414897913,0.28228936414897915,3177.5904937268742
54,Comisaria Vecinal 10-C,2,300-600 m,300,600,2168,846868.092447653,0.8468680924476529,2560.020880859919
54,Comisaria Vecinal 10-C,3,600-900 m,600,900,3037,1411446.8207453075,1.4114468207453075,2151.692827078194
54,Comisaria Vecinal 10-C,4,900-1200 m,900,1200,4236,1976025.5490442794,1.9760255490442793,2143.6969790440085
6,Comisaria Vecinal 3-A,1,0-300 m,0,300,5779,282289.36414897913,0.28228936414897915,20471.901296820073
6,Comisaria Vecinal 3-A,2,300-600 m,300,600,9783,846868.092447653,0.8468680924476529,11551.976142736434
