id_cajero,densidad_1,densidad_2,densidad_3,id_original,banco,red,barrio,comuna,tipo
226,3698.332748552927,510.11486186984666,1453.8273563271239,11657,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Caballito,Comuna 6,A (0-50m)
227,72181.25295451574,12370.285400343782,1351.8043839532904,11654,BANCO DE LA PROVINCIA DE BUENOS AIRES,LINK,Caballito,Comuna 6,A (0-50m)
228,3315.7466021509,42.509571822487224,25.50574309345831,11653,BANCO DE LA NACION ARGENTINA,LINK,Caballito,Comuna 6,A (0-50m)
229,9309.596229115989,1105.2488673846678,1963.94221819629,11668,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Caballito,Comuna 6,A (0-50m)
230,16833.790441689183,1062.7392955621806,51.01148618691662,11513,BANCO PIANO S.A.,LINK,Flores,Comuna 7,A (0-50m)
231,17471.434019025895,1997.9498756568994,153.03445856074987,11520,BANCO DE LA PROVINCIA DE BUENOS AIRES,LINK,Flores,Comuna 7,A (0-50m)
232,5738.792196030404,212.5478591124361,76.51722928037493,11519,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Flores,Comuna 7,A (0-50m)
233,68865.50635236484,8034.309074450085,433.5976325887913,11514,BANCO DE LA NACION ARGENTINA,LINK,Flores,Comuna 7,A (0-50m)
234,4846.091187759008,2593.083881171721,382.58614640187466,11522,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Flores,Comuna 7,A (0-50m)
235,3060.6891712162155,4080.9188949587733,918.2067513644993,11527,BANCO HIPOTECARIO S.A.,LINK,Flores,Comuna 7,B (50-100m)
236,10712.412099256753,5271.186905988416,3264.7351159626637,10971,BANCO DE LA PROVINCIA DE BUENOS AIRES,LINK,Velez Sarsfield,Comuna 10,A (0-50m)
237,2167.988162944819,425.0957182248722,1020.2297237383325,10969,BANCO DE LA NACION ARGENTINA,LINK,Velez Sarsfield,Comuna 10,A (0-50m)
238,4208.447610422296,1147.758439207155,663.1493204299161,10968,BANCO PIANO S.A.,LINK,Velez Sarsfield,Comuna 10,A (0-50m)
239,8671.952651779276,1572.8541574320273,255.05743093458312,11658,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,,,A (0-50m)
240,39151.31564847409,5271.186905988416,943.7124944579575,10885,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Nueva Pompeya,Comuna 4,A (0-50m)
241,2550.5743093468463,637.6435773373083,76.51722928037493,11202,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,San Cristobal,Comuna 3,A (0-50m)
242,7524.194212573197,6716.512347952981,1326.2986408598322,11204,BANCO DE LA NACION ARGENTINA,LINK,San Cristobal,Comuna 3,A (0-50m)
243,4591.033756824323,1912.930732011925,2856.643226467331,11664,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Caballito,Comuna 6,A (0-50m)
244,4846.091187759008,1827.9115883669506,1887.424988915915,10983,BANCO DE LA NACION ARGENTINA,LINK,Villa Gral. Mitre,Comuna 11,A (0-50m)
245,2423.045593879504,807.6818646272573,459.10337568224963,11222,BANCO DE LA PROVINCIA DE BUENOS AIRES,LINK,Villa Devoto,Comuna 11,A (0-50m)
246,1402.8158701407654,467.60529004735946,1198.7699253925407,11223,BANCO PIANO S.A.,LINK,Villa Devoto,Comuna 11,A (0-50m)
247,2295.5168784121615,340.0765745798978,51.01148618691662,11010,BANCO DE LA NACION ARGENTINA,LINK,Retiro,Comuna 1,A (0-50m)
248,8799.481367246619,1190.2680110296421,76.51722928037493,10999,BANCO HIPOTECARIO S.A.,LINK,Recoleta,Comuna 2,A (0-50m)
249,22445.053922252246,8416.89522085247,2423.0455938785394,10991,BANCO DE LA PROVINCIA DE BUENOS AIRES,LINK,Recoleta,Comuna 2,A (0-50m)
250,6376.435773367116,85.01914364497445,102.02297237383324,10987,BANCO DE LA NACION ARGENTINA,LINK,Recoleta,Comuna 2,A (0-50m)
251,3698.332748552927,2210.4977347693357,637.6435773364578,11803,BANCO DE LA NACION ARGENTINA,LINK,Recoleta,Comuna 2,A (0-50m)
252,1530.3445856081078,340.0765745798978,76.51722928037493,10985,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Recoleta,Comuna 2,A (0-50m)
253,73073.95396278714,1700.3828728994888,25.50574309345831,11797,BANCO HIPOTECARIO S.A.,LINK,Palermo,Comuna 14,A (0-50m)
254,31627.12143590089,2550.5743093492333,1581.3560717944154,11804,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Palermo,Comuna 14,A (0-50m)
255,5228.677334161035,1232.7775828521294,510.11486186916625,11791,BANCO DE LA PROVINCIA DE BUENOS AIRES,LINK,Palermo,Comuna 14,A (0-50m)
256,40299.07408768017,16111.127720722658,6095.872599336537,11778,BANCO DE LA NACION ARGENTINA,LINK,Palermo,Comuna 14,A (0-50m)
257,6121.378342432431,1827.9115883669506,382.58614640187466,11786,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Palermo,Comuna 14,A (0-50m)
258,9182.067513648646,85.01914364497445,51.01148618691662,11793,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,Palermo,Comuna 14,A (0-50m)
