id_celda,area_km2,delitos_ponderados,cant_estaciones_tren,densidad_delitos,densidad_estaciones_tren
1599,0.25,509.2,0.0,2036.8,0.0
1600,0.25,537.05,0.0,2148.2,0.0
1601,0.25,1545.9,0.0,6183.6,0.0
1602,0.25,260.9,0.0,1043.6,0.0
1603,0.25,44.4,0.0,177.6,0.0
1604,0.25,100.3,0.0,401.2,0.0
1605,0.25,205.25,0.0,821.0,0.0
1606,0.25,81.6,0.0,326.4,0.0
1607,0.25,118.95,0.0,475.8,0.0
1608,0.25,182.05,0.0,728.2,0.0
1609,0.25,413.6,0.0,1654.4,0.0
1610,0.25,261.85,0.0,1047.4,0.0
1611,0.25,226.7,0.0,906.8,0.0
1612,0.25,497.55,0.0,1990.2,0.0
1613,0.25,1250.05,0.0,5000.2,0.0
1614,0.25,559.0,1.0,2236.0,4.0
1615,0.25,426.95,0.0,1707.8,0.0
1616,0.25,267.95,0.0,1071.8,0.0
1617,0.25,333.0,0.0,1332.0,0.0
1618,0.25,266.55,0.0,1066.2,0.0
1619,0.25,271.45,0.0,1085.8,0.0
1620,0.25,219.1,0.0,876.4,0.0
1621,0.25,430.0,0.0,1720.0,0.0
1622,0.25,259.9,0.0,1039.6,0.0
1623,0.25,147.05,0.0,588.2,0.0
1624,0.25,138.35,0.0,553.4,0.0
1625,0.25,103.25,0.0,413.0,0.0
1626,0.25,260.15,0.0,1040.6,0.0
1627,0.25,235.9,0.0,943.6,0.0
1628,0.25,98.5,0.0,394.0,0.0
1629,0.25,62.35,0.0,249.4,0.0
1630,0.25,102.45,0.0,409.8,0.0
1631,0.25,316.0,0.0,1264.0,0.0
1632,0.25,384.25,0.0,1537.0,0.0
1633,0.25,295.55,0.0,1182.2,0.0
1634,0.25,329.9,0.0,1319.6,0.0
1635,0.25,619.5,0.0,2478.0,0.0
1636,0.25,321.2,0.0,1284.8,0.0
1637,0.25,178.95,0.0,715.8,0.0
1638,0.25,224.75,0.0,899.0,0.0
1639,0.25,225.7,1.0,902.8,4.0
1650,0.25,0.75,0.0,3.0,0.0
1651,0.25,15.9,0.0,63.6,0.0
1652,0.25,156.65,0.0,626.6,0.0
1653,0.25,665.0,0.0,2660.0,0.0
1654,0.25,528.9,0.0,2115.6,0.0
1655,0.25,149.2,0.0,596.8,0.0
1656,0.25,322.6,0.0,1290.4,0.0
1657,0.25,90.95,0.0,363.8,0.0
1658,0.25,48.55,0.0,194.2,0.0
1659,0.25,8.7,0.0,34.8,0.0
1660,0.25,18.05,0.0,72.2,0.0
1661,0.25,25.75,0.0,103.0,0.0
1662,0.25,46.15,0.0,184.6,0.0
1663,0.25,158.8,0.0,635.2,0.0
1664,0.25,256.85,0.0,1027.4,0.0
1665,0.25,317.85,0.0,1271.4,0.0
1666,0.25,269.15,0.0,1076.6,0.0
1667,0.25,415.7,0.0,1662.8,0.0
