id_celda,area_km2,delitos_ponderados,cant_paradas,densidad_delitos,densidad_paradas
4083,0.0625,39.65,0.0,634.4,0.0
4084,0.0625,31.05,1.0,496.8,16.0
4085,0.0625,58.7,0.0,939.2,0.0
4086,0.0625,13.35,2.0,213.6,32.0
4087,0.0625,40.9,1.0,654.4,16.0
4088,0.0625,53.05,0.0,848.8,0.0
4089,0.0625,48.25,0.0,772.0,0.0
4090,0.0625,29.75,0.0,476.0,0.0
4091,0.0625,32.7,0.0,523.2,0.0
4092,0.0625,56.35,4.0,901.6,64.0
4093,0.0625,54.0,0.0,864.0,0.0
4094,0.0625,58.2,0.0,931.2,0.0
4095,0.0625,20.2,1.0,323.2,16.0
4096,0.0625,17.85,1.0,285.6,16.0
4097,0.0625,3.45,0.0,55.2,0.0
4160,0.0625,32.05,0.0,512.8,0.0
4161,0.0625,81.05,0.0,1296.8,0.0
4162,0.0625,54.1,1.0,865.6,16.0
4163,0.0625,69.05,2.0,1104.8,32.0
4164,0.0625,40.85,1.0,653.6,16.0
4165,0.0625,52.05,0.0,832.8,0.0
4166,0.0625,50.2,0.0,803.2,0.0
4167,0.0625,53.05,0.0,848.8,0.0
4168,0.0625,76.4,2.0,1222.4,32.0
4169,0.0625,47.25,1.0,756.0,16.0
4170,0.0625,30.65,0.0,490.4,0.0
4171,0.0625,54.65,0.0,874.4,0.0
4172,0.0625,41.1,1.0,657.6,16.0
4173,0.0625,47.75,0.0,764.0,0.0
4174,0.0625,100.85,6.0,1613.6,96.0
4175,0.0625,42.65,0.0,682.4,0.0
4177,0.0625,16.1,1.0,257.6,16.0
4178,0.0625,66.2,1.0,1059.2,16.0
4179,0.0625,40.0,1.0,640.0,16.0
4180,0.0625,44.5,0.0,712.0,0.0
4181,0.0625,44.85,0.0,717.6,0.0
4182,0.0625,67.75,1.0,1084.0,16.0
4183,0.0625,97.7,4.0,1563.2,64.0
4184,0.0625,49.4,1.0,790.4,16.0
4185,0.0625,55.2,0.0,883.2,0.0
4186,0.0625,42.65,1.0,682.4,16.0
4187,0.0625,61.3,4.0,980.8,64.0
4188,0.0625,25.05,0.0,400.8,0.0
4189,0.0625,46.85,0.0,749.6,0.0
4190,0.0625,58.15,0.0,930.4,0.0
4191,0.0625,68.6,1.0,1097.6,16.0
4192,0.0625,98.6,3.0,1577.6,48.0
4193,0.0625,29.9,1.0,478.4,16.0
4194,0.0625,55.75,2.0,892.0,32.0
